,initial_pos,no_of_pits,tyre_grid,tyre_1,tyre_2,tyre_grid_distance,tyre_1_distance,tyre_2_distance,sc,Temperature,Humidity,Altitude,Turns,RaceDistance,TrackLength,TeamAbility,DriverAbility,final_pos_gained
50,4.0,1.0,3.0,2.0,2.0,30.0,41.0,0.0,0.0,91.72,0.19,63.5,8.0,71.0,4.318,739.0,413.0,-1.0
51,19.0,1.0,3.0,2.0,2.0,41.0,30.0,0.0,0.0,91.72,0.19,63.5,8.0,71.0,4.318,145.0,96.0,11.0
52,20.0,1.0,3.0,2.0,2.0,27.0,44.0,0.0,0.0,91.72,0.19,63.5,8.0,71.0,4.318,1.0,0.0,2.0
54,17.0,1.0,3.0,2.0,2.0,19.0,52.0,0.0,0.0,91.72,0.19,63.5,8.0,71.0,4.318,1.0,1.0,-3.0
55,7.0,1.0,4.0,2.0,2.0,24.0,47.0,0.0,0.0,91.72,0.19,63.5,8.0,71.0,4.318,57.0,14.0,-3.0
56,7.0,2.0,4.0,3.0,4.0,9.0,30.0,12.0,1.0,69.98,0.44,26.8,20.0,51.0,6.003,145.0,49.0,-1.0
57,3.0,1.0,4.0,3.0,3.0,11.0,40.0,0.0,0.0,69.98,0.44,26.8,20.0,51.0,6.003,504.0,240.0,0.0
58,19.0,1.0,4.0,3.0,3.0,6.0,45.0,0.0,0.0,69.98,0.44,26.8,20.0,51.0,6.003,57.0,43.0,9.0
59,5.0,1.0,3.0,4.0,4.0,10.0,41.0,0.0,0.0,69.98,0.44,26.8,20.0,51.0,6.003,73.0,52.0,-1.0
60,8.0,2.0,3.0,4.0,4.0,34.0,13.0,4.0,0.0,69.98,0.44,26.8,20.0,51.0,6.003,504.0,264.0,3.0
61,13.0,1.0,4.0,3.0,3.0,10.0,41.0,0.0,0.0,69.98,0.44,26.8,20.0,51.0,6.003,73.0,21.0,4.0
63,11.0,1.0,4.0,3.0,3.0,12.0,39.0,0.0,0.0,69.98,0.44,26.8,20.0,51.0,6.003,85.0,92.0,0.0
67,9.0,1.0,4.0,3.0,3.0,12.0,39.0,0.0,0.0,69.98,0.44,26.8,20.0,51.0,6.003,145.0,96.0,2.0
70,18.0,3.0,3.0,3.0,3.0,14.0,9.0,0.0,0.0,69.98,0.44,26.8,20.0,51.0,6.003,1.0,1.0,2.0
71,17.0,1.0,4.0,3.0,3.0,7.0,44.0,0.0,0.0,69.98,0.44,26.8,20.0,51.0,6.003,57.0,14.0,5.0
72,10.0,1.0,3.0,2.0,2.0,24.0,33.0,0.0,0.0,78.22,0.59,16.9,15.0,57.0,5.412,91.0,54.0,-8.0
73,9.0,2.0,3.0,2.0,3.0,10.0,24.0,23.0,0.0,78.22,0.59,16.9,15.0,57.0,5.412,145.0,49.0,3.0
74,2.0,3.0,3.0,2.0,2.0,14.0,21.0,0.0,0.0,78.22,0.59,16.9,15.0,57.0,5.412,504.0,240.0,-3.0
