,initial_pos,sc_lap,sc_decision,sc_laps_travelled,sc_laps_remaining,sc_tyre_compound,before_pit_pos,Temperature,Humidity,Altitude,Turns,RaceDistance,TrackLength,TeamAbility,DriverAbility,final_pos_gained
46,11.0,1.0,1.0,18.0,57.0,2.0,15.0,77.14,0.62,17.3,15.0,57.0,5.412,131.0,33.0,-2.0
47,20.0,1.0,1.0,19.0,57.0,3.0,16.0,77.14,0.62,17.3,15.0,57.0,5.412,0.0,0.0,6.0
48,17.0,1.0,1.0,15.0,57.0,3.0,17.0,77.14,0.62,17.3,15.0,57.0,5.412,8.0,4.0,2.0
49,8.0,1.0,1.0,23.0,57.0,2.0,7.0,77.14,0.62,17.3,15.0,57.0,5.412,107.0,75.0,2.0
50,5.0,1.0,1.0,18.0,57.0,3.0,3.0,77.14,0.62,17.3,15.0,57.0,5.412,195.0,125.0,-13.0
51,12.0,1.0,1.0,21.0,57.0,3.0,10.0,77.14,0.62,17.3,15.0,57.0,5.412,131.0,98.0,2.0
52,4.0,1.0,1.0,17.0,57.0,3.0,4.0,77.14,0.62,17.3,15.0,57.0,5.412,319.0,105.0,1.0
53,10.0,1.0,1.0,15.0,57.0,4.0,19.0,77.14,0.62,17.3,15.0,57.0,5.412,107.0,32.0,-1.0
54,7.0,1.0,1.0,15.0,57.0,3.0,8.0,77.14,0.62,17.3,15.0,57.0,5.412,181.0,0.0,-2.0
55,1.0,1.0,1.0,18.0,57.0,3.0,1.0,77.14,0.62,17.3,15.0,57.0,5.412,573.0,347.0,0.0
56,15.0,1.0,1.0,19.0,57.0,4.0,13.0,77.14,0.62,17.3,15.0,57.0,5.412,202.0,105.0,10.0
57,14.0,1.0,1.0,18.0,57.0,3.0,18.0,77.14,0.62,17.3,15.0,57.0,5.412,0.0,3.0,2.0
58,2.0,1.0,1.0,20.0,57.0,2.0,6.0,77.14,0.62,17.3,15.0,57.0,5.412,573.0,223.0,-6.0
59,16.0,1.0,1.0,18.0,57.0,3.0,11.0,77.14,0.62,17.3,15.0,57.0,5.412,8.0,4.0,0.0
60,6.0,55.0,0.0,19.0,3.0,2.0,7.0,77.14,0.62,17.3,15.0,57.0,5.412,181.0,119.0,-1.0
61,9.0,55.0,0.0,17.0,3.0,2.0,4.0,77.14,0.62,17.3,15.0,57.0,5.412,202.0,97.0,5.0
62,8.0,55.0,0.0,31.0,3.0,2.0,6.0,77.14,0.62,17.3,15.0,57.0,5.412,107.0,75.0,2.0
63,4.0,55.0,0.0,22.0,3.0,2.0,3.0,77.14,0.62,17.3,15.0,57.0,5.412,319.0,105.0,1.0
64,7.0,55.0,0.0,22.0,3.0,2.0,9.0,77.14,0.62,17.3,15.0,57.0,5.412,181.0,0.0,-2.0
65,1.0,55.0,0.0,20.0,3.0,2.0,1.0,77.14,0.62,17.3,15.0,57.0,5.412,573.0,347.0,0.0
66,15.0,55.0,0.0,17.0,3.0,2.0,5.0,77.14,0.62,17.3,15.0,57.0,5.412,202.0,105.0,10.0
67,4.0,10.0,1.0,1.0,35.0,4.0,4.0,65.38,0.61,102.2,19.0,44.0,7.004,181.0,119.0,0.0
68,10.0,10.0,1.0,1.0,35.0,4.0,10.0,65.38,0.61,102.2,19.0,44.0,7.004,202.0,97.0,3.0
69,14.0,10.0,1.0,1.0,35.0,3.0,12.0,65.38,0.61,102.2,19.0,44.0,7.004,131.0,33.0,1.0
70,19.0,10.0,1.0,10.0,35.0,3.0,17.0,65.38,0.61,102.2,19.0,44.0,7.004,0.0,0.0,3.0
71,16.0,10.0,1.0,10.0,35.0,3.0,14.0,65.38,0.61,102.2,19.0,44.0,7.004,8.0,4.0,4.0
72,17.0,10.0,1.0,10.0,35.0,3.0,15.0,65.38,0.61,102.2,19.0,44.0,7.004,3.0,2.0,2.0
73,12.0,10.0,0.0,16.0,35.0,2.0,8.0,65.38,0.61,102.2,19.0,44.0,7.004,107.0,75.0,4.0
74,8.0,10.0,0.0,8.0,35.0,4.0,9.0,65.38,0.61,102.2,19.0,44.0,7.004,195.0,125.0,-2.0
75,13.0,10.0,1.0,10.0,35.0,4.0,13.0,65.38,0.61,102.2,19.0,44.0,7.004,131.0,98.0,-1.0
76,9.0,10.0,1.0,1.0,35.0,4.0,7.0,65.38,0.61,102.2,19.0,44.0,7.004,195.0,75.0,0.0
77,20.0,10.0,1.0,10.0,35.0,3.0,16.0,65.38,0.61,102.2,19.0,44.0,7.004,3.0,1.0,3.0
78,5.0,10.0,1.0,1.0,35.0,4.0,6.0,65.38,0.61,102.2,19.0,44.0,7.004,319.0,105.0,-1.0
79,11.0,10.0,1.0,1.0,35.0,3.0,11.0,65.38,0.61,102.2,19.0,44.0,7.004,107.0,32.0,0.0
80,6.0,10.0,1.0,1.0,35.0,4.0,5.0,65.38,0.61,102.2,19.0,44.0,7.004,181.0,0.0,1.0
81,3.0,10.0,1.0,1.0,35.0,3.0,3.0,65.38,0.61,102.2,19.0,44.0,7.004,319.0,214.0,0.0
82,1.0,10.0,1.0,1.0,35.0,3.0,1.0,65.38,0.61,102.2,19.0,44.0,7.004,573.0,347.0,0.0
83,2.0,10.0,1.0,1.0,35.0,3.0,2.0,65.38,0.61,102.2,19.0,44.0,7.004,573.0,223.0,0.0
84,8.0,2.0,0.0,10.0,51.0,3.0,6.0,70.92,0.5,11.3,18.0,52.0,5.891,181.0,119.0,4.0
85,5.0,2.0,0.0,10.0,51.0,3.0,7.0,70.92,0.5,11.3,18.0,52.0,5.891,202.0,97.0,0.0
86,10.0,2.0,0.0,10.0,51.0,3.0,10.0,70.92,0.5,11.3,18.0,52.0,5.891,131.0,33.0,0.0
87,18.0,2.0,0.0,10.0,51.0,2.0,18.0,70.92,0.5,11.3,18.0,52.0,5.891,0.0,0.0,3.0
88,16.0,2.0,0.0,10.0,51.0,2.0,16.0,70.92,0.5,11.3,18.0,52.0,5.891,8.0,4.0,-1.0
89,17.0,2.0,0.0,34.0,51.0,2.0,15.0,70.92,0.5,11.3,18.0,52.0,5.891,3.0,2.0,1.0
90,11.0,2.0,0.0,10.0,51.0,2.0,11.0,70.92,0.5,11.3,18.0,52.0,5.891,107.0,75.0,4.0
91,4.0,2.0,0.0,11.0,51.0,2.0,4.0,70.92,0.5,11.3,18.0,52.0,5.891,131.0,98.0,1.0
92,6.0,2.0,0.0,11.0,51.0,2.0,8.0,70.92,0.5,11.3,18.0,52.0,5.891,195.0,75.0,-3.0
93,12.0,2.0,0.0,4.0,51.0,2.0,12.0,70.92,0.5,11.3,18.0,52.0,5.891,319.0,105.0,4.0
94,9.0,2.0,0.0,10.0,51.0,3.0,9.0,70.92,0.5,11.3,18.0,52.0,5.891,181.0,0.0,3.0
95,3.0,2.0,0.0,11.0,51.0,2.0,3.0,70.92,0.5,11.3,18.0,52.0,5.891,319.0,214.0,1.0
96,1.0,2.0,0.0,11.0,51.0,2.0,1.0,70.92,0.5,11.3,18.0,52.0,5.891,573.0,347.0,0.0
97,7.0,2.0,0.0,11.0,51.0,3.0,5.0,70.92,0.5,11.3,18.0,52.0,5.891,202.0,105.0,-6.0
98,20.0,2.0,0.0,10.0,51.0,2.0,17.0,70.92,0.5,11.3,18.0,52.0,5.891,0.0,3.0,8.0
